a0,a1,b0,b1,Crashes,HeadingVar,ConvexArea
0.5,0.5,0.5,0.5,34,0.0177747,26.0094
0.5,0.5,0.5,1.0,39,0.160421,96.6097
0.5,0.5,1.0,0.5,31,0.0541952,47.0024
0.5,0.5,1.0,1.0,46,0.222073,89.3187
0.5,1.0,0.5,0.5,39,0.0152064,26.566
0.5,1.0,0.5,1.0,58,0.042589,52.0588
0.5,1.0,1.0,0.5,29,0.11026,79.237
0.5,1.0,1.0,1.0,53,0.255523,52.9238
0.5,1.5,0.5,0.5,23,0.011299,21.4482
0.5,1.5,0.5,1.0,52,0.0474052,58.0224
0.5,1.5,1.0,0.5,59,0.0977448,65.9362
0.5,1.5,1.0,1.0,67,0.240332,60.9024
1.0,0.5,0.5,0.5,41,0.0170104,25.8667
1.0,0.5,0.5,1.0,56,0.0652228,32.5328
1.0,0.5,1.0,0.5,29,0.0606406,53.8807
1.0,0.5,1.0,1.0,71,0.204725,67.2659
1.0,1.0,0.5,0.5,66,0.0139769,21.0896
1.0,1.0,0.5,1.0,50,0.0513226,34.8912
1.0,1.0,1.0,0.5,24,0.0648415,60.8924
1.0,1.0,1.0,1.0,48,0.218793,69.6088
1.0,1.5,0.5,0.5,34,0.0198057,33.7032
1.0,1.5,0.5,1.0,48,0.0647129,45.3281
1.0,1.5,1.0,0.5,31,0.110889,86.4247
1.0,1.5,1.0,1.0,59,0.2597,91.7388
1.5,0.5,0.5,0.5,49,0.0233102,35.0732
1.5,0.5,0.5,1.0,67,0.0376462,27.1696
1.5,0.5,1.0,0.5,27,0.121897,94.5542
1.5,0.5,1.0,1.0,47,0.210973,64.3424
1.5,1.0,0.5,0.5,30,0.0233909,36.7527
1.5,1.0,0.5,1.0,57,0.0863678,74.3244
1.5,1.0,1.0,0.5,39,0.0782019,49.1244
1.5,1.0,1.0,1.0,59,0.210467,53.3521
1.5,1.5,0.5,0.5,42,0.0182196,29.0563
1.5,1.5,0.5,1.0,65,0.062899,36.9688
1.5,1.5,1.0,0.5,39,0.0876344,89.8783
1.5,1.5,1.0,1.0,46,0.221321,77.4622
